pool_id,total_stakes,total_rewards
1873,2652254428531706,1635482311750
1874,20273105047921488,10371499607326
1876,1750126363843884,1706930037240
1881,5172876755794917,4174101726382
1882,4675978740301011,3805626451033
1884,167024375755421,59765214068
1885,154395255507710,91649195610
1888,68591248770940,45860982888
1893,182316423321315,171126242830
1900,2543478361117023,1455024005325
1901,30333575815920335,17413826613420
1903,100373838096559722,65801140398486
1920,607343295668294,199525251489
1922,3129438793335,3640744190
1924,651587510409572,347272752929
1925,14296035735428222,12075018347627
1926,631933881288,5823190088
1929,63942482185755,46585784848
1932,238143659931408,183507119802
1936,104713555899056,253326823068
1937,95105118991986,117962071389
1942,78889492187876550,53873361965455
1945,265772579580650,117968186754
1947,3750552941310,7282859465
1948,71895058127256,42947100463
